[1216/182041.546:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1216/182051.773:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1217/141539.260:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1217/143226.044:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1217/152147.021:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1217/160000.798:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1217/163518.501:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/115731.574:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/115947.279:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/120124.210:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/120349.981:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/123759.112:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/123818.131:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/124106.962:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/124759.349:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/124912.957:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/124932.770:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/124957.572:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/125350.688:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/125552.232:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/125932.051:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/130011.932:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/130403.866:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/130721.427:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/130917.902:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/131431.977:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/131925.186:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/132634.166:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/132800.181:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/133214.864:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/133332.336:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/133751.859:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/153717.233:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/153717.239:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/155458.833:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/160205.738:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/163355.305:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/164519.194:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/164656.764:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/170235.534:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/170358.591:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/171253.564:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[1218/172014.741:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
